Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MonadBayes_LR5_MH100,4.500023014225268e-3,4.246993323157168e-3,4.784630633370943e-3,8.146608747262334e-4,6.659049687463376e-4,1.0055767801232015e-3
MonadBayes_HMM2_MH100,3.2680510414541636e-3,3.019704886237813e-3,3.5544542385656614e-3,8.404062506283715e-4,6.439091075866723e-4,1.2687052161596318e-3
MonadBayes_LDA1_MH100,2.5869438771272877e-2,2.1705826171249373e-2,3.1142575639866683e-2,1.0248394539126255e-2,6.62862444885949e-3,1.5821113281081267e-2
MonadBayes_LR5_SMC100,3.884767261309183e-3,3.487651773903163e-3,4.397776263370456e-3,1.364688930121563e-3,1.0099965267473326e-3,1.850164758500535e-3
MonadBayes_HMM2_SMC100,1.4525822817360984e-3,1.3920713429901334e-3,1.5112582758212186e-3,2.0716267243204014e-4,1.913323905894812e-4,2.285871692002087e-4
MonadBayes_LDA1_SMC100,1.5102623723615417e-2,1.423267962962531e-2,1.6324245956022217e-2,2.505742879911856e-3,1.7984801266133026e-3,2.9676411231653013e-3
