Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MonadBayes_LR10_MH100,8.81238339589129e-3,8.50762679934342e-3,9.235020533104765e-3,1.080553016203668e-3,8.524521821743291e-4,1.3324669052968583e-3
MonadBayes_LR10_SMC100,7.621531700438266e-3,7.442711220213106e-3,7.838731315774882e-3,5.800862922099834e-4,3.9273518466347354e-4,9.915856682565852e-4
MonadBayes_LR100_MH100,5.7384615877866196e-2,5.4340201408452075e-2,6.117404058890155e-2,5.9846364708497244e-3,4.456320092025528e-3,7.308259868222274e-3
MonadBayes_LR100_SMC100,5.246537355791018e-2,5.094993061984039e-2,5.441332728143421e-2,3.2560088831422346e-3,2.368282920648457e-3,5.103060295601185e-3
MonadBayes_LR200_MH100,0.11263937266234972,0.10978234074549012,0.11670546827870219,5.087279690032794e-3,2.525254699635479e-3,7.859275827367838e-3
MonadBayes_LR200_SMC100,9.2578567061611e-2,9.077919096291427e-2,9.454654795438358e-2,3.251722016910676e-3,2.3982585345005292e-3,3.8992850057666165e-3
MonadBayes_LR300_MH100,0.17556739160855717,0.17153668013343124,0.1799344575621136,6.090719140978457e-3,3.6504336774563872e-3,8.259808781389377e-3
MonadBayes_LR300_SMC100,0.14483305135050664,0.14062146788927668,0.14911354577288008,6.264444475970194e-3,4.10390382786589e-3,8.543842384102687e-3
MonadBayes_LR400_MH100,0.24346321541039892,0.2361243246520947,0.2528515031299321,1.027920747759905e-2,5.503421331287593e-3,1.3365089749964e-2
MonadBayes_LR400_SMC100,0.18934300588532804,0.1816180195144423,0.20622176688630134,1.4681585926905733e-2,4.026032606757256e-3,2.169477920030453e-2
MonadBayes_LR500_MH100,0.32118999165822365,0.3181404477979716,0.3228380057177856,2.8172728209574956e-3,1.0671999191635112e-3,3.8837494828384733e-3
MonadBayes_LR500_SMC100,0.2637971163195713,0.25383462079723057,0.2689099935244303,8.853551300359603e-3,3.0022951363923665e-3,1.218894878197893e-2
MonadBayes_LR600_MH100,0.48757483001645596,0.4674818368293927,0.49859941701470234,1.927326093216984e-2,3.912361618858995e-3,2.5460193084567977e-2
MonadBayes_LR600_SMC100,0.2674784123233015,0.23540117417724105,0.2877284919299806,3.532144348851326e-2,1.738500986573222e-2,5.398774626683153e-2
MonadBayes_LR700_MH100,0.4823114038293473,0.37418591850291705,0.5236142163169765,7.558206726058345e-2,1.6670467375661246e-3,9.345981986671427e-2
MonadBayes_LR700_SMC100,0.33894480434760527,0.32226277859920327,0.34744670354460444,1.621439134974307e-2,5.287058044867406e-3,2.328340985915747e-2
MonadBayes_LR800_MH100,0.4643514730796596,0.43281945061789884,0.48069626112010155,3.07886823972463e-2,1.5053689185383756e-2,3.685558590851659e-2
MonadBayes_LR800_SMC100,0.3002162359414312,0.277587039177306,0.3466775914413544,3.8308855692292136e-2,9.557077254635837e-3,5.2467637942376445e-2
MonadBayes_LR900_MH100,0.5684498906666704,0.5571478340025351,0.5749093347076268,1.1089638605400224e-2,3.233662835555151e-3,1.4917447023446101e-2
